timestamp,open,high,low,close,volume,datetime
1669762800000,16487.5,16514,16415,16427,2850.669,2022-11-29 23:00:00+00:00
1669766400000,16427,16900,16418,16828.5,26082.092,2022-11-30 00:00:00+00:00
1669770000000,16828.5,16928,16817,16866.5,10908.634,2022-11-30 01:00:00+00:00
1669773600000,16866.5,17125,16866,16952.5,17053.481,2022-11-30 02:00:00+00:00
1669777200000,16952.5,16966,16836.5,16836.5,5900.43,2022-11-30 03:00:00+00:00
1669780800000,16836.5,16881.5,16816.5,16871.5,3766.035,2022-11-30 04:00:00+00:00
1669784400000,16871.5,16906.5,16858,16858.5,2255.84,2022-11-30 05:00:00+00:00
1669788000000,16858.5,16864,16823,16860,2825.342,2022-11-30 06:00:00+00:00
1669791600000,16860,16923,16856,16882,3020.255,2022-11-30 07:00:00+00:00
1669795200000,16882,16924.5,16867,16881,3467.921,2022-11-30 08:00:00+00:00
1669798800000,16881,16898.5,16830,16869.5,3150.116,2022-11-30 09:00:00+00:00
1669802400000,16869.5,16889.5,16860,16860,1624.828,2022-11-30 10:00:00+00:00
1669806000000,16860,16889.5,16860,16873,1623.094,2022-11-30 11:00:00+00:00
1669809600000,16873,16877,16759,16775,6390.247,2022-11-30 12:00:00+00:00
1669813200000,16775,16888,16762.5,16804,10401.037,2022-11-30 13:00:00+00:00
1669816800000,16804,16880,16803.5,16843.5,4065.919,2022-11-30 14:00:00+00:00
1669820400000,16843.5,16860.5,16785.5,16856.5,3305.027,2022-11-30 15:00:00+00:00
1669824000000,16856.5,16899,16816.5,16856.5,6197.365,2022-11-30 16:00:00+00:00
1669827600000,16856.5,16866,16712.5,16786.5,9784.136,2022-11-30 17:00:00+00:00
1669831200000,16786.5,16983,16708,16919,16180.132,2022-11-30 18:00:00+00:00
1669834800000,16919,17142,16916,17043.5,16426.274,2022-11-30 19:00:00+00:00
1669838400000,17043.5,17083,17019.5,17079,4630.762,2022-11-30 20:00:00+00:00
1669842000000,17079,17097,17016,17085.5,3604.883,2022-11-30 21:00:00+00:00
1669845600000,17085.5,17270,17056.5,17132.5,9178.041,2022-11-30 22:00:00+00:00
1669849200000,17132.5,17205.5,17094.5,17146.5,7376.383,2022-11-30 23:00:00+00:00
1669852800000,17146.5,17215,17104.5,17143.5,6450.038,2022-12-01 00:00:00+00:00
1669856400000,17143.5,17150,17090.5,17097.5,2640.457,2022-12-01 01:00:00+00:00
